,RCH1_0,RCH1_1,RCH1_2,RCH1_3,RCH1_4,RCH1_5,RCH1_6,RCH1_7,RCH1_8,RCH1_9,RCH1_10,RCH2_0,RCH2_1,RCH2_2,RCH2_3,RCH2_4,RCH2_5,RCH2_6,RCH2_7,RCH2_8,RCH2_9,RCH2_10,RCH3_0,RCH3_1,RCH3_2,RCH3_3,RCH3_4,RCH3_5,RCH3_6,RCH3_7,RCH3_8,RCH3_9,RCH3_10,RCH4_0,RCH4_1,RCH4_2,RCH4_3,RCH4_4,RCH4_5,RCH4_6,RCH4_7,RCH4_8,RCH4_9,RCH4_10,RCH5_0,RCH5_1,RCH5_2,RCH5_3,RCH5_4,RCH5_5,RCH5_6,RCH5_7,RCH5_8,RCH5_9,RCH5_10
90,0.00642,0.172005,0.338082,0.50367,0.669258,0.835335,1.00092,1.16749,1.33454,1.5016,1.66964,0.00593,0.229643,0.453359,0.677074,0.901766,1.12597,1.35213,1.57975,1.8074,2.03751,2.26956,0.00642,0.214989,0.423074,0.631647,0.840708,1.04977,1.25932,1.46985,1.68087,1.8929,2.10541,0.00642,0.241366,0.476316,0.711755,0.947681,1.1841,1.421,1.65889,1.89778,2.13766,2.3785,0.00642,0.273116,0.539816,0.807493,1.07566,1.34529,1.61492,1.88655,2.15964,2.4342,2.71071
91,0.00642,0.172982,0.339059,0.505135,0.671701,0.838266,1.00434,1.17091,1.33894,1.50648,1.67452,0.00642,0.231109,0.455801,0.680493,0.905674,1.13134,1.35897,1.58659,1.81571,2.04581,2.27689,0.00642,0.214013,0.421609,0.629205,0.837778,1.04635,1.25492,1.46447,1.67501,1.88606,2.09808,0.00642,0.234528,0.462639,0.691728,0.920327,1.1499,1.37948,1.61052,1.84209,2.07463,2.30815,0.00642,0.262859,0.519789,0.777208,1.03512,1.294,1.55435,1.8162,2.07952,2.34479,2.61202
92,0.00642,0.174936,0.343455,0.511974,0.680493,0.849012,1.01802,1.188,1.35799,1.52748,1.69797,0.00642,0.217432,0.427959,0.638974,0.850966,1.06296,1.27544,1.48938,1.70335,1.91879,2.13521,0.00642,0.215478,0.424539,0.633112,0.842662,1.0527,1.26225,1.47327,1.68429,1.89583,2.10883,0.00642,0.229643,0.45287,0.676097,0.899812,1.12402,1.34871,1.57438,1.80057,2.02822,2.25686,0.00642,0.254066,0.501716,0.750343,0.999458,1.24906,1.50062,1.75318,2.00722,2.2637,2.52213
93,0.00642,0.174447,0.342478,0.51002,0.678051,0.847058,1.01509,1.1841,1.3531,1.5226,1.69309,0.00642,0.211082,0.415259,0.619435,0.824589,1.02925,1.23441,1.44152,1.64961,1.85821,2.06779,0.00642,0.203755,0.401093,0.598432,0.79577,0.993597,1.19191,1.39072,1.5905,1.79079,1.99158,0.00642,0.221828,0.436751,0.652162,0.868551,1.08445,1.30084,1.51869,1.73657,1.95592,2.17576,0.00642,0.245762,0.485597,0.724943,0.965754,1.20705,1.44933,1.69309,1.93736,2.18407,2.43175
94,0.00642,0.174447,0.341989,0.509532,0.677562,0.846081,1.01411,1.18312,1.35262,1.52211,1.69211,0.00642,0.227201,0.448474,0.670724,0.893462,1.11767,1.34236,1.56949,1.7991,2.0336,2.27396,0.00642,0.202289,0.397674,0.593058,0.788443,0.985293,1.18117,1.3785,1.57633,1.77516,1.97448,0.00642,0.21792,0.429424,0.640928,0.85292,1.06589,1.27837,1.49232,1.70628,1.92123,2.13668,0.00642,0.238924,0.471432,0.704428,0.937912,1.17237,1.40683,1.64375,1.88166,2.12105,2.36238
95,0.00642,0.17347,0.340036,0.507089,0.674143,0.841685,1.00923,1.17677,1.34529,1.51381,1.68283,0.0069,0.211082,0.416235,0.620901,0.826543,1.03219,1.23929,1.44689,1.65449,1.86408,2.07415,0.00642,0.205709,0.404512,0.603805,0.803585,1.00337,1.20364,1.40488,1.60613,1.80887,2.01112,0.00642,0.222316,0.438216,0.654116,0.870504,1.08689,1.30426,1.52211,1.74145,1.96129,2.18162,0.00642,0.251136,0.495855,0.740085,0.985781,1.23197,1.47864,1.7268,1.97644,2.22755,2.48061
96,0.00642,0.17347,0.340524,0.507578,0.675608,0.843151,1.01069,1.17921,1.34724,1.51674,1.68625,0.00642,0.216943,0.426982,0.637508,0.849012,1.06003,1.27251,1.48597,1.69993,1.91586,2.13228,0.00642,0.211082,0.415747,0.620412,0.825566,1.03121,1.23685,1.44347,1.65107,1.85919,2.06828,0.0069,0.229643,0.45287,0.675608,0.899324,1.12353,1.34871,1.57438,1.80105,2.02871,2.25784,0.00642,0.25602,0.505135,0.754739,1.00532,1.25688,1.50892,1.76295,2.01796,2.27493,2.53386
97,0.00642,0.175913,0.345409,0.514905,0.684889,0.854874,1.02486,1.19533,1.36629,1.53774,1.7097,0.0069,0.222805,0.438705,0.654605,0.87197,1.08885,1.30719,1.52553,1.74585,1.96618,2.18846,0.00642,0.214501,0.422585,0.63067,0.839731,1.0483,1.25834,1.46838,1.67941,1.89143,2.10443,0.00642,0.230132,0.454335,0.678539,0.90372,1.12792,1.35359,1.57926,1.80643,2.03457,2.26321,0.00642,0.257486,0.509043,0.760601,1.01265,1.26567,1.51918,1.77418,2.03067,2.28812,2.54705
98,0.00642,0.17347,0.340524,0.507578,0.674631,0.842174,1.00972,1.17775,1.34627,1.51478,1.68381,0.00642,0.220363,0.434309,0.648743,0.862689,1.0781,1.29351,1.50941,1.72777,1.94566,2.16501,0.0069,0.22427,0.441635,0.659978,0.878808,1.09764,1.31696,1.53774,1.75904,1.98181,2.20458,0.00642,0.240389,0.474362,0.707847,0.942308,1.17726,1.4127,1.64912,1.88655,2.12446,2.36385,0.00642,0.279466,0.552516,0.826055,1.10057,1.37655,1.65303,1.93198,2.2124,2.49526,2.78057
99,0.00642,0.172982,0.340524,0.507089,0.674143,0.841685,1.00825,1.17628,1.3448,1.51283,1.68185,0.00642,0.23062,0.454824,0.679516,0.904208,1.12988,1.35603,1.58366,1.8118,2.04141,2.27249,0.00642,0.222805,0.439193,0.655093,0.872458,1.08885,1.30719,1.52602,1.74536,1.96569,2.187,0.00642,0.248693,0.49097,0.733735,0.976501,1.21975,1.46398,1.70921,1.95592,2.20263,2.45227,0.00642,0.282886,0.56082,0.837778,1.11669,1.3956,1.67648,1.95885,2.24318,2.52946,2.81819
